Country name,Agricultural land under irrigation (percent of total ag. land),Cereal yield (kg per hectare),Foreign direct investment net inflows (percent of GDP),Energy use per units of GDP (kg oil eq./$1000 of 2005 PPP $),Energy use per capita (kilograms of oil equivalent),CO2 emissions total (KtCO2),CO2 emissions per capita (metric tons),CO2 emissions per units of GDP (kg/$1000 of 2005 PPP $),GHG net emissions/removals by LUCF (MtCO2e),Population in urban agglomerations >1million (percent),Nationally terrestrial protected areas (percent of total land area),Invest. in energy w/ private participation ($),Invest. in telecoms w/ private participation ($),Invest. in transport w/ private participation ($),Invest. in water/sanit. w/ private participation ($),Public sector mgmt & institutions avg. (1-6 scale; 6=best),Paved roads (percent of total roads),GDP ($),GNI per capita (Atlas $),Ratio of girls to boys in primary & secondary school (percent),Primary completion rate total (percent of relevant age group),Under-five mortality rate (per 1000),Access to improved water source (percent of total pop.),Nurses and midwives (per 1000 people),Physicians (per 1000 people),Malaria incidence rate (per 100000 people),Access to improved sanitation (percent of total pop.),Child malnutrition underweight (percent of under age 5),Population living below $1.25 a day (percent of total),Population growth (annual percent),Population,Urban population growth (annual percent),Urban population
Aruba,?,?,?,?,?,2288.208,21.6838314728,?,?,?,0.1049297745,?,?,?,?,?,?,?,?,100.179,94.6417,?,100,?,?,?,?,?,?,1.2405344284,105526,1.368876692,49365.0628
Andorra,?,?,?,?,?,539.049,6.5278346271,?,?,?,6.0291116146,?,?,?,?,?,?,3.71203426650674E9,41750,103.437,?,3.9,100,?,?,?,100,?,?,1.447877605,82577,0.9318921641,73427.4684
Afghanistan,5.7794777104,1418.1,2.5515833333,?,?,814.074,0.0250348301,28.4799769138,?,10.5177875259,0.4330522544,?,1.85E8,?,?,2.2,?,1.17574055325125E10,290,59.787,?,149.6,48,?,?,2428,37,?,?,2.8313,3.25176563188065E7,4.3852846515,7817244.57904108
Angola,?,729.9,1.9945363253,114.4918993696,630.6366949175,24370.882,1.3510882936,245.289667081,?,23.5713409784,12.3998266057,0,3.27E8,?,?,2.4,?,8.41785125024322E10,3420,?,?,168.2,50,?,?,21593,57,?,?,2.8829273741,1.8037964E7,4.4829615088,1.0227525588E7
Albania,9.9915325995,4081.1,7.3923178412,89.9795475488,649.9245457263,4176.713,1.3128550131,181.7597148,?,?,9.7896160228,?,6.4E7,?,?,?,?,1.29686535247799E10,3820,?,?,19.9,97,?,?,?,98,?,0.62,0.3694504429,3181397,1.7487826562,1486348.6784
United Arab Emirates,?,3000,5.251085597,240.5092152232,9409.6517542632,155066.429,24.9840257738,638.5877595566,?,23.632964335,5.6195033128,?,?,?,?,?,?,2.61347863149485E11,?,?,?,7.9,100,?,?,?,97,?,?,13.8192409121,6206623,13.8963122069,4833717.9924
Argentina,?,3927.1,2.9771192034,144.8332586186,1922.7606390021,192378.154,4.8440527389,364.8815816502,?,39.2045605338,5.425434956,7.1775E8,1.58E9,3.31E8,?,?,?,3.26676673164783E11,7190,105.033,105.40755,14.8,97,?,?,0,90,?,?,0.8756293937,3.9714298E7,1.093257336,3.653715416E7
Armenia,8.8723526045,2386.4,8.0212050117,173.3301746989,973.2011469634,5548.171,1.801888352,320.9219633673,?,36.0046338411,7.991345077,7.0E7,1.863E8,7.05E8,0,3.7,90.52,1.16620178448868E10,3340,103.518,?,21.7,96,?,?,0,90,?,1.28,0.1594600151,3079087,0.0342643805,1966304.9582
American Samoa,?,?,?,?,?,?,?,?,?,?,0.3132539919,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.6551955001,66217,2.0241595649,61131.5344
Antigua and Barbuda,?,1619,14.4757331138,?,?,447.374,5.1492731437,274.0064316946,?,?,7.0113406103,?,?,?,?,?,?,1.20331481481481E9,12990,94.358,102.57376,9,?,?,?,?,?,?,?,1.094816972,86881,0.8325217396,26463.9526
Australia,0.4435785357,1696.5,4.5487707742,174.8971135729,6019.0676093681,399218.956,18.5696190897,539.5807107869,69.4877985866,59.2532641812,10.5026586405,?,?,?,?,?,?,1.03941509537683E12,41760,97.297,?,5.2,100,?,?,?,100,?,?,2.0014292368,2.14985E7,2.2044749919,1.90777689E7
Austria,?,6809.8,1.5921545592,110.976014805,4016.596045113,67725.823,8.1235965151,224.4498468356,-17.5865078116,20.1638469623,22.9224248821,?,?,?,?,?,100,4.14670756948768E11,46250,96.734,98.88993,4.5,100,7.84,?,?,100,?,?,0.4344113239,8336926,0.7625249666,5599079.5016
Azerbaijan,30.0462573591,2741.4,0.0319403142,189.7076643037,1522.1323915375,47139.285,5.3791091357,670.4135828437,?,21.9999771778,7.1479053762,?,4.74E8,?,?,3.2,?,4.62581548198637E10,3790,99.015,90.73683,49.8,80,?,?,1,45,?,1.04,2.0998540326,8763400,2.3698638398,4549957.28
Burundi,?,1318.3,0.3279329101,?,?,179.683,0.0226204571,62.9021320072,?,?,4.8488416047,?,0,?,?,2.6,?,1.16890017120255E9,140,91.321,45.20584,145.3,72,?,?,48475,46,?,?,3.0109168719,7943385,5.9379551019,826112.04
Belgium,?,8885.7,27.0232364906,162.9996585723,5469.581575976,104879.867,9.7927293561,291.8343056705,-1.5559946915,17.5454503947,0.885070824,?,?,?,?,?,78.2,5.05373713699784E11,45080,98.253,86.04568,4.6,100,0.3,2.987,?,100,?,?,0.7899768455,1.0709973E7,0.8105212729,1.04272297128E7
Benin,?,1157.1,2.541395635,278.256778591,392.4894506689,4066.703,0.4866817537,345.0347435922,?,?,23.805451263,?,5.07E7,?,?,3.3,?,6.68274491413769E9,730,?,65.13789,120.8,75,0.77,0.059,35555,12,?,?,2.9562369753,8355980,3.9318544698,3442663.76
Burkina Faso,?,1039.8,1.8949687306,?,?,1855.502,0.1195920815,113.0791179082,?,10.654318478,13.9055681382,?,1.088E8,?,?,3.5,?,8.04582300529242E9,470,84.095,37.99923,179.6,76,0.73,0.064,45322,11,?,?,2.9706873262,1.5515258E7,5.1413151843,3034784.4648
Bangladesh,?,4102.2,1.2690986167,141.6115704951,192.0618951418,46526.896,0.3198201794,235.810637205,?,13.8180271559,1.6412621631,1.538E8,8.96E8,?,?,3,?,7.95543506777438E10,570,108.244,54.4916,53.9,80,?,?,1510,53,?,?,1.0513645296,1.454783E8,2.8357984952,3.948281062E7
Bulgaria,?,4100.8,19.2554471023,216.0915101446,2594.2088793772,50538.594,6.6294077639,552.2141052117,-11.5658077086,15.5746488277,9.066592045,6.0786E8,4.108E8,?,?,?,?,5.1824867626646E10,5700,97.411,89.93236,13.9,100,4.72,3.635,?,100,?,?,-0.4759365345,7623395,-0.0531029235,5420233.845
Bahrain,?,?,8.1906914699,369.7971544028,8784.7075000071,22478.71,21.3603057512,899.1739661168,?,?,1.3493605035,?,?,?,?,?,81.4814814815,2.19028925839637E10,18730,101.198,97.83694,10.5,?,3.73,1.442,?,?,?,?,12.82037337,1052359,12.8655711109,931548.1868
Bahamas,?,2067.4,11.7863459216,?,?,2156.196,6.4622356224,263.6153140637,?,?,13.6590924449,?,?,?,?,?,?,7.297903886E9,21660,101.171,94.71387,16.3,?,?,?,?,100,?,?,1.4490338397,333661,1.6882684035,279274.257
Bosnia and Herzegovina,?,4427,5.3067772064,211.7290730611,1583.1479501156,31275.843,8.2868266986,1108.2742679731,?,?,0.5754476189,?,7.77E7,?,?,3.3,?,1.85005991611744E10,4530,101.641,?,8.6,99,?,?,?,95,?,?,-0.1289520194,3774164,1.1011801416,1790463.4016
Belarus,0.5943703039,3554.6,3.5886685343,249.5330457565,2931.1957925432,62815.71,6.5419402208,556.9161475338,-27.1384557933,18.9652259946,7.2679885763,6.25E8,1.13E9,3960000,?,?,?,6.07634831460674E10,5590,?,96.35613,7.2,100,?,4.98,?,93,?,0.1,-1.0360639714,9602000,-0.4626835609,7053629.2
Belize,?,2428,12.4875579222,?,?,425.372,1.3206209252,212.0425093917,?,?,27.9480497397,7.5E7,?,?,?,?,?,1.3587E9,3740,101.05,99.27465,18.2,99,?,?,210,90,?,?,3.346271811,322100,4.3180967579,166525.7
Bermuda,?,?,0.8647146013,?,?,388.702,6.0545482866,?,?,?,5.5689324574,?,?,?,?,?,?,6.067898E9,?,?,?,?,?,?,?,?,?,?,?,0.3125,64200,0.3120127336,64200
Bolivia,?,2016.4,3.0724593592,148.9659501693,621.5358041501,12834.5,1.3343603855,319.8114434793,?,32.5330567265,18.2063961814,2.0E7,6.63E7,?,?,3.3,?,1.66750157711304E10,1490,98.784,98.82139,59,86,?,?,365,25,4.5,?,1.6242816014,9618466,2.3281865736,6307790.0028
Brazil,?,3830.8,2.7264478755,135.4357807451,1297.9100849173,393219.744,2.0529033035,214.2186619354,?,39.9667736637,28.0286850651,9.1946E9,1.08545E10,9.9671E9,8.274E8,?,?,1.65263222922761E12,7480,102.527,?,22,97,?,?,210,80,?,4.25,0.9152846289,1.91543237E8,1.4542431685,1.639227022246E8
Barbados,?,2484.2,7.7882004145,?,?,1353.123,4.9714269968,267.4791987413,?,?,0.0872916227,?,?,?,?,?,?,3.6702153125E9,11610,?,?,18.9,100,?,?,?,100,?,?,0.2066944711,272180,1.4188305244,108436.512
Brunei Darussalam,?,1221.2,1.543688044,201.482502532,9433.5096634997,10593.963,27.5386033091,588.1741694108,?,?,42.8565873325,?,?,?,?,?,?,1.43930990685859E10,33680,101.122,105.70779,7.7,?,4.88,1.417,?,?,?,?,1.8845807351,384695,2.4743947774,287828.799
Bhutan,?,2742.2,2.2811058821,?,?,733.4,1.0456782009,242.35964009,?,?,28.3482511535,?,0,?,?,3.8,?,1.25762505471579E9,1740,97.775,84.48692,61.7,92,?,?,100,65,12,?,1.8392626367,701363,5.2614254864,241829.9624
Botswana,?,538.2,6.64432361,88.45891313,1110.3527584609,4840.44,2.4761538391,197.2687289492,?,?,30.9330883441,?,5.186E7,?,?,?,?,1.34733457125461E10,6450,?,?,51.8,95,?,?,587,60,?,?,1.4054562189,1954822,2.6892576348,1164682.9476
Central African Republic,?,946.7,5.9062073628,?,?,260.357,0.0614344964,87.8262386886,?,?,14.6627836394,?,2800000,?,?,2.3,?,1.98298385475983E9,420,68.645,35.46239,162.3,67,?,?,35786,34,?,62.83,1.8341247064,4237961,2.2497097201,1635005.3538
Canada,?,3386.9,3.8607907999,222.9106571483,8001.4827656598,544091.125,16.3334811806,455.029040257,-16.9484282117,43.6940536873,8.0343670517,?,?,?,?,?,?,1.49910781226571E12,43430,?,?,6,100,?,?,?,100,?,?,1.0119656595,3.33114E7,1.1364211827,2.67823656E7
Switzerland,?,6416.4,3.1842556014,91.9285859374,3501.1462960965,40392.005,5.2816058475,138.6775975581,0.5741344543,14.8538085104,22.8295009542,?,?,?,?,?,100,5.02447278285276E11,56780,97.26,94.00919,4.7,100,15.96,?,?,100,?,?,1.2706180739,7647675,1.3523063017,5619511.59
Channel Islands,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.6719735333,151705,1.1228599654,47210.596
Chile,?,5868.3,8.8729963865,130.1946745214,1743.8449478979,73108.979,4.3528667907,324.983064426,?,34.6105433729,16.4964330241,8870000,4.057E8,2.601E8,?,?,?,1.70741003929264E11,9490,98.531,?,9,96,?,?,?,96,0.5,?,0.9712586029,1.6795593E7,1.2883596614,1.48540224492E7
China,?,5548.4,3.8733824669,279.8402021811,1598.516237058,7031916.207,5.3084887816,929.3171626804,?,17.2522253719,16.5992984642,6.7877E8,?,4.3675E8,9.7361362E8,?,53.5,4.52182689954068E12,3050,104.003,?,20.9,89,?,?,3,55,?,?,0.5123869316,1.324655E9,2.6226645384,5.70926305E8
Cote d Ivoire,?,1728.3,1.9054739919,326.6699240804,541.3207042058,7014.971,0.3694616534,222.9584225035,?,20.5240351994,22.5925235424,0,3.007E8,?,0,2.5,?,2.34140052594684E10,1070,?,?,127.7,80,0.48,0.144,36482,23,?,23.75,1.808282045,1.8987007E7,3.1705322132,9261862.0146
Cameroon,?,1510.9,-0.1019485822,166.8926643156,340.9175160557,5302.482,0.2826667068,138.3765796178,?,19.5006519081,9.1539435591,0,2.11E8,?,?,2.9,?,2.37355128291016E10,1160,84.248,72.70164,138.7,74,?,?,27818,47,?,?,2.2031029454,1.8758778E7,3.6583193972,1.06474823928E7
Congo,?,776.3,21.0634668772,98.6260213398,338.655160558,1936.176,0.5046936676,146.9811602665,?,32.9000904248,9.4476325071,?,1.207E8,7.35E8,?,2.6,?,1.17892450425775E10,1870,?,73.06955,95,71,?,?,34298,30,?,?,2.7946231158,3836339,3.4160478466,2353210.3426
Cook Islands,?,?,?,?,?,69.673,3.4803436735,?,?,?,0.8071026997,?,?,?,?,?,?,?,?,?,?,10,?,?,?,?,100,?,?,0.7923812773,20019,?,?
Colombia,?,4154.4,4.3313085077,82.8191257618,683.2903603364,67700.154,1.5042545867,182.3251973431,?,36.8281613238,20.4102098737,1.593E8,1.691E9,9.56E8,?,?,?,2.4464567249499E11,4640,104.307,110.47104,20.5,92,?,1.43,394,74,?,?,1.4625794029,4.5005782E7,1.8660769242,3.352930759E7
Comoros,?,1290.5,1.4187096191,?,?,124.678,0.1788693234,179.2919018988,?,?,0,?,?,?,?,2.2,?,5.30138454667262E8,690,?,81.01795,89.9,95,?,?,24619,36,?,?,2.6799390468,697034,2.8938428717,195727.1472
Cape Verde,?,336.8,13.6286137333,?,?,308.028,0.6320195498,189.7232191519,?,?,2.4689162771,?,4700000,?,?,4,?,1.55055239153712E9,2900,100.8,91.98827,37.6,84,1.32,0.572,23,54,?,?,0.896136847,487371,2.1450982299,290570.5902
Costa Rica,1.5,3757.8,7.0060199556,104.6908266499,1085.3231799924,8016.062,1.772632064,170.9889916223,?,30.2740703262,20.9152328449,?,?,?,?,?,25.28,2.96636142229414E10,6060,102.029,92.8693,10.3,97,?,?,51,95,?,?,1.5491803051,4522124,2.3745818166,2860695.6424
Cuba,?,2674.2,0.038623082,?,935.9998153885,31418.856,2.7885968684,?,?,19.0901671755,6.2491618679,?,0,?,?,?,?,6.27048E10,5520,98.788,89.90873,6.3,94,?,?,?,91,?,?,-0.0158149828,1.1266905E7,0.0106225586,8524540.323
Curacao,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0230595776,141279,?,?
Cayman Islands,?,?,?,?,?,557.384,10.0801880821,?,?,?,8.694005085,?,?,?,?,?,?,?,?,100.857,83.83838,?,95,?,?,?,96,?,?,1.1202765061,55295,1.1202765061,55295
Cyprus,20.8695652174,1327.5,15.3240202723,123.9959576774,2401.262394371,8555.111,7.943456877,410.1828042798,?,?,10.9794219787,?,?,?,?,?,64.61,2.53718740806119E10,27460,100.065,100.24621,4.2,100,?,?,?,100,?,?,1.305982783,1077001,1.5925159303,752823.699
Czech Republic,0.2356267672,5363.5,3.0416396798,184.3585945905,4281.3450180424,116995.635,11.223317725,483.286227506,-4.7782835335,11.1425418367,15.1247517901,?,?,?,?,?,?,2.16084641518276E11,17140,100.619,95.28029,4.5,100,8.55,3.625,?,98,?,?,0.8688159994,1.0424336E7,0.8688159994,7661886.96
Germany,?,7118.7,0.1316933685,120.7515860343,4076.2826525464,786659.508,9.58054535,283.8041776523,15.2164359944,7.9308845537,40.4718162872,?,?,?,?,?,?,3.6345259457282E12,42680,98.136,103.51328,4.4,100,10.82,3.531,?,100,?,?,-0.1901428447,8.2110097E7,-0.0814471818,6.04658754308E7
Djibouti,?,1500,23.1701380736,?,?,524.381,0.6128552328,302.4928609552,?,?,0.0025739998,?,?,?,?,2.8,?,9.82534421931004E8,1200,79.972,41.52718,94.5,92,0.8,?,467,56,?,?,1.9094562815,855636,2.3686993389,746970.228
Dominica,?,1351.1,15.1028062991,?,?,128.345,1.8830235185,214.4560022584,?,?,21.6669670691,?,0,?,?,3.8,?,3.74422222222222E8,5140,98.227,90.0149,12.9,?,?,?,?,?,?,?,-0.4026566099,68159,0.0583611558,50383.1328
Denmark,9.5202398801,6017.3,0.7632334404,102.8606894913,3497.9790196666,46024.517,8.3778107372,246.3557911619,-2.1152117565,21.14090142,4.9513690843,?,?,?,?,?,100,3.41466969261278E11,58620,102.026,?,4.3,100,?,?,?,100,?,?,0.5875475903,5493621,0.8879522067,4761870.6828
Dominican Republic,?,4250.1,6.3078852007,109.18791784,843.8008150691,21616.965,2.236635417,289.4208677986,?,21.6990406984,22.1327798134,0,3.3E7,?,?,?,?,4.54986086253681E10,4460,102.927,?,28.8,86,?,?,46,83,?,?,1.3855999033,9664948,2.4635418776,6670747.1096
Algeria,2.0697668789,1034,1.5176390926,147.0534936219,1083.3683532499,111304.451,3.2329603949,438.83331038,?,7.7883026004,6.3173270035,?,2.64E8,?,8.74E8,?,73.46,1.70989269622037E11,4260,?,113.855,38.1,83,?,?,?,95,?,?,1.5261166912,3.4428028E7,2.5122571943,2.24539598616E7
East Asia & Pacific,?,4910.1208949047,3.6708897263,264.115930633,1371.646407724,8259297.79712798,4.2696899931,827.1404550441,?,?,14.9128306062,8.41507E9,?,1.54205E9,9.7361362E8,?,15.8550000191,5.8993388158497E12,2730.6376506454,102.216,?,26.8872570023,87.8959378545,?,?,524.9319270064,58.9836523634,?,?,0.7052249076,1.934402219E9,2.7377118247,8.550048682678E8
Europe & Central Asia,?,2553.2957111979,4.8695766071,278.5737339347,3058.4702114648,3110254.40771698,7.7379261647,707.9956077411,?,18.1548929703,7.4776977533,1.965496E10,1.88155E10,?,?,?,85.8,3.33088896805582E12,6960.1803707836,97.064,95.36372313,24.8351382891,95.4788948902,?,?,?,89.0104915183,?,?,0.3307049642,4.01949352E8,0.4826502343,2.558760965468E8
Ecuador,10.1813297515,2991.5,1.8457162409,108.2279460579,784.7263305717,26824.105,1.90827354,263.1854159849,?,30.7895500664,25.0948560083,?,1.0621E9,?,?,?,?,5.42085E10,3570,101.607,?,22.3,94,?,?,63,92,?,?,1.483690803,1.405674E7,2.49519368,9218410.092
Egypt,?,7500.4,5.8307615007,173.0780891011,902.7912614201,210320.785,2.6852902057,514.8088127911,?,19.1930477698,5.8799977508,?,1.414E9,6.4E8,?,?,86.89,1.62836363636364E11,1880,?,?,25.5,99,?,?,0,94,6.8,?,1.779877801,7.8323298E7,1.8735546229,3.34597129056E7
Euro area,?,5898.0038858033,2.9127317866,121.6814835833,3740.2497715565,2633269.033,7.9911416123,259.9756771075,?,17.8138739569,15.4516285787,?,?,?,?,?,91.8000030518,1.35517205683137E13,38508.3833536513,99.385,100.4728036637,4.4942090294,99.9534932151,?,?,?,99.8754010896,?,?,0.5224387002,3.2952351E8,0.780313707,2.412346512532E8
Eritrea,?,252.2,-0.0169062205,279.4696314361,136.8855230731,414.371,0.0837532574,170.9931880501,?,?,4.9610013447,?,0,?,?,2.7,?,1.38016260162602E9,250,77.213,46.89775,66.2,61,?,?,762,14,?,?,3.0570561753,4947521,5.2034800421,1025126.3512
Spain,11.9358965248,3580.8,4.8872189169,107.5204388798,3047.0768146856,329285.599,7.2281950085,255.0571406264,-29.1183666055,23.3709728105,8.5719678896,?,?,?,?,?,?,1.59391218368916E12,31810,102.586,100.21597,5.1,100,?,?,?,100,?,?,1.4967350499,4.5555716E7,1.6784352946,3.51325681792E7
Estonia,?,2794,7.4350879222,217.6236295355,4057.8723404255,18290.996,13.6431245455,731.6805539229,-0.326317027,?,19.9504884684,?,?,?,?,?,28.7745114933,2.35171872077801E10,14410,101.15,100.03059,6.6,98,6.82,3.409,?,95,?,?,-0.0743378874,1340675,-0.045540191,931232.855
Ethiopia,0.4751832643,1421.7,0.407385571,490.4139218977,399.0652366597,7106.646,0.089452062,109.9282336051,?,3.5263162711,18.3986779899,?,?,?,?,3.3,?,2.66424615161887E10,290,85.096,52.06519,111.9,38,?,?,11509,12,?,?,2.1990318808,7.9446419E7,3.9794943441,1.350589123E7
Finland,?,3542.2,-0.8068806022,197.4880222425,6640.6593971204,56512.137,10.6357789054,316.2997551028,-27.0104851772,20.6431513989,9.0660198166,?,?,?,?,?,65.47,2.70478631852639E11,48110,102.221,97.85745,3.3,100,?,2.735,?,100,?,?,0.4655492845,5313399,0.9406095604,3363381.567
Fiji,?,2009.3,8.6781815381,?,?,1254.114,1.4865317531,348.5315624339,?,?,1.3389387582,?,9.025E7,?,?,?,?,3.56520388958595E9,4070,102.764,91.84866,18.2,?,?,?,?,?,?,?,0.9987467752,843651,1.996835675,441735.6636
France,?,7289,2.3496814222,137.124227887,4162.7559724005,376985.935,5.8731328096,193.4652924977,-68.9030912352,22.1943702784,15.1039691883,?,?,?,?,?,100,2.8317940601311E12,42080,99.562,?,4.3,100,8.093,3.497,?,100,?,?,0.5656269509,6.4188219E7,0.8504167874,4.96560062184E7
Faeroe Islands,?,?,?,?,?,707.731,14.5632652221,?,?,?,?,?,?,?,?,?,?,2.41285969282674E9,?,?,?,?,?,?,?,?,?,?,?,0.0514567415,48597,1.3637477487,20128.8774
Micronesia,?,1405.5,2.2052457346,?,?,62.339,0.5648336912,196.7677037709,?,?,4.0256930418,?,?,?,?,?,?,2.618E8,2480,?,?,43.8,?,?,?,?,?,?,?,0.2494796245,110367,0.6050355546,24876.7218
Gabon,?,1881.2,1.4382590358,102.0639682672,1371.9232439961,2471.558,1.7041584213,126.7805409634,?,?,14.8889585858,?,5.64E7,3900000,?,?,?,1.45328168095484E10,7500,?,?,76.5,87,?,?,29451,33,?,?,1.8562461923,1450310,2.4222854394,1233343.624
United Kingdom,?,7420.1,3.5185811872,100.1047234197,3390.309752718,522855.528,8.5164610122,251.4631512534,-3.9621713831,25.7831734394,24.3523783562,?,?,?,?,?,100,2.65748226911241E12,45610,101.28,?,5.6,100,?,?,?,100,?,?,0.6649337047,6.1393521E7,0.7539214748,5.52173327874E7
Georgia,4.0031708284,2090.5,12.2237194887,151.8568908383,685.8370782672,5203.473,1.1870048133,262.8246066998,?,25.3068868764,3.6512350401,5.0E7,1.06E8,3.45E8,?,3.8,?,1.2795044475201E10,2460,96.46,99.72638,24.1,98,?,?,0,95,?,15.27,-0.1071579314,4383700,0.0446447543,2311963.38
