Country name,Agricultural land under irrigation (percent of total ag. land),Cereal yield (kg per hectare),Foreign direct investment net inflows (percent of GDP),Energy use per units of GDP (kg oil eq./$1000 of 2005 PPP $),Energy use per capita (kilograms of oil equivalent),CO2 emissions total (KtCO2),CO2 emissions per capita (metric tons),CO2 emissions per units of GDP (kg/$1000 of 2005 PPP $),GHG net emissions/removals by LUCF (MtCO2e),Population in urban agglomerations >1million (percent),Nationally terrestrial protected areas (percent of total land area),Invest. in energy w/ private participation ($),Invest. in telecoms w/ private participation ($),Invest. in transport w/ private participation ($),Invest. in water/sanit. w/ private participation ($),Public sector mgmt & institutions avg. (1-6 scale; 6=best),Paved roads (percent of total roads),GDP ($),GNI per capita (Atlas $),Ratio of girls to boys in primary & secondary school (percent),Primary completion rate total (percent of relevant age group),Under-five mortality rate (per 1000),Access to improved water source (percent of total pop.),Nurses and midwives (per 1000 people),Physicians (per 1000 people),Malaria incidence rate (per 100000 people),Access to improved sanitation (percent of total pop.),Child malnutrition underweight (percent of under age 5),Population living below $1.25 a day (percent of total),Population growth (annual percent),Population,Urban population growth (annual percent),Urban population
Niger,?,488.9,6.3395273895,?,?,850.744,0.0588749888,90.2839046171,?,6.6626265302,6.8351448635,?,5.47E7,?,?,3.2,20.65,5.36991134632992E9,330,73.941,37.87114,155.9,48,0.14,0.019,37958,9,?,?,3.5526406822,1.4450007E7,4.0374901169,2390031.1578
Nigeria,?,1598.4,3.9574591161,378.1958933317,735.88315007,95756.371,0.6355550861,326.6338188611,?,14.7254249523,12.8448710943,?,2.995E9,3.82E8,?,2.9,?,2.07117912034147E11,1170,?,?,151,58,1.61,0.395,38259,32,26.7,?,2.4961230478,1.5066573E8,3.9961511738,7.2861947028E7
Nicaragua,?,1811,9.8254258377,216.8766630923,540.8067354949,4330.727,0.7684620404,308.1719810181,?,?,36.7228365552,0,1.56E8,?,?,3.4,?,6.37224289655547E9,1050,102.494,74.54399,29.5,85,?,?,26,52,?,?,1.2844451341,5635577,1.7791457896,3197626.3898
Niue,?,?,?,?,?,3.667,2.3581993569,?,?,?,22.2223500181,?,?,?,?,?,?,?,?,?,?,24.2,100,?,?,?,100,?,?,-2.7277301713,1555,?,?
Netherlands,?,8331.9,1.0340869933,126.8434092779,4837.1668932826,173749.794,10.5651279343,277.0458154961,2.6680336391,12.4322181632,12.3645649348,?,?,?,?,?,?,8.73367268465961E11,49000,98.195,?,4.7,100,0.15,?,?,100,?,?,0.3892924615,1.6445593E7,1.0514653286,1.34557841926E7
Norway,?,4488,1.6833765713,128.7008923743,6249.3678972328,49992.211,10.48447741,215.9196931485,-34.3031908366,?,14.4202411504,?,?,?,?,?,?,4.46241134751773E11,84850,99.007,97.57057,3.6,100,14.76,4.076,?,100,?,?,1.2463330154,4768212,1.3238023543,3694410.6576
Nepal,27.7434679335,2361.1,0.007915017,325.232625073,332.0693000931,3542.322,0.1225489752,120.0259249662,?,?,16.9966968481,?,0,?,?,3,?,1.25726063528817E10,400,?,?,55,88,?,?,103,31,?,?,1.8559452437,2.8905358E7,4.6796622619,4983283.7192
Nauru,?,?,?,?,?,143.013,14.0484282908,?,?,?,?,?,?,?,?,?,?,?,?,111.964,?,40,90,4.93,0.714,?,50,?,?,0.2557294597,10180,?,?
New Zealand,?,7379.7,4.3467746508,158.5814518255,4042.5308627515,33094.675,7.7525065005,304.1173408135,-29.3601361229,30.7596804797,25.8471849272,?,?,?,?,?,65.89,1.17816546666667E11,27320,103.379,?,6.2,100,?,?,?,?,?,?,0.9556161787,4268900,1.0943445246,3695159.84
Oman,?,3341.4,4.8737546842,252.9978733513,6235.3969320009,45749.492,17.34931131,703.9389654597,?,?,10.6767425413,?,?,?,?,?,43.46,6.05669705792556E10,18750,?,?,10.9,88,4.11,1.901,?,?,?,?,2.9157053273,2636963,2.9715712505,1888592.9006
Pakistan,72.7929984779,2653.7,3.3180452675,213.3905899765,494.354537431,163177.833,0.9745319667,420.6615608485,?,17.8763475586,10.2938055471,1.0844E9,2.2555E9,3.03E8,?,3,?,1.63891676021598E11,940,80.208,60.34669,89.6,90,?,?,881,45,?,?,1.8058771374,1.67442258E8,2.9741797167,6.05471204928E7
Panama,?,2735,9.5480314413,70.4541262492,822.5790968819,6912.295,2.0291564301,173.7978072205,?,38.5597537874,18.6760933537,1.97E7,8.78E8,?,?,?,38.14,2.30016E10,6230,101.087,101.85214,21.2,93,?,?,35,69,?,?,1.6520333808,3406487,2.7509455384,2493548.484
Peru,?,3830.6,5.4593137686,66.3353718553,528.5157700056,40535.018,1.4241132927,178.7441173863,?,30.1951092314,13.6213951801,3.282E8,8.424E8,4.39E8,?,?,?,1.26822739599823E11,4070,99.38,100.96242,22.4,82,?,?,478,68,?,?,1.0498527137,2.8463338E7,1.1900069062,2.0322823332E7
Philippines,?,3334.3,0.8893879428,129.8511306794,439.2146978492,83156.559,0.9221876927,272.6391334012,?,14.0994182314,10.8505447906,1.82E9,1.2086E9,3.153E8,?,?,?,1.73602533345578E11,1770,101.685,93.67477,31.3,91,?,?,96,76,?,?,1.7005878337,9.0173139E7,2.8469985301,5.85404018388E7
Palau,?,?,1.0336888603,?,?,212.686,10.514435436,827.4911919458,?,?,1.97374013,?,?,?,?,?,?,1.66394363535E8,6700,?,?,20.2,?,?,?,?,?,?,?,0.5452846506,20228,1.9470597941,16275.4488
Papua New Guinea,?,4228.2,-0.3805127962,?,?,2108.525,0.3219481933,157.9831018002,?,?,3.0733721779,?,0,?,?,2.9,?,8.01037037037037E9,1100,?,?,63.2,40,0.51,0.053,18012,45,?,?,2.3632495108,6549268,2.2038869273,821278.2072
Poland,?,3217.2,2.8292366126,156.0259468843,2567.3778455138,316066.064,8.2900923756,503.8095638792,-34.8578216079,4.4763226878,21.8332981041,1.5002E9,2.281E9,1.4393E9,?,?,68.1512924679,5.2940075543749E11,11870,99.493,?,6.6,100,5.73,2.144,?,90,?,0.07,0.0136373797,3.8125759E7,-0.0841621391,2.33787154188E7
Puerto Rico,?,1764.2,?,?,?,?,?,?,?,68.5474944956,10.0859919101,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.337344737,3954553,0.581744044,3888116.5096
Korea,?,3716.2,?,?,839.7794790911,78371.124,3.2483650538,?,?,11.696740105,3.9715822213,?,4.0E8,?,?,?,?,?,?,?,?,33.1,100,?,?,284,?,?,?,0.4891384385,2.4126329E7,1.065140031,1.51223830172E7
Portugal,?,3597.8,1.8581723341,104.7196544103,2299.8794153457,56310.452,5.3010979709,241.3731536533,-13.45436079,38.8486495488,5.9194564031,?,?,?,?,?,?,2.5192529388069E11,21520,99.858,?,4.1,99,5.33,?,?,100,?,?,0.1326189926,1.0622413E7,1.1808111763,6316086.7698
Paraguay,?,2681.3,1.6517361183,165.3502240149,719.6667480974,4118.041,0.6609760905,151.8654917999,?,30.8841935835,5.4452928218,?,1.788E8,?,?,?,?,1.68731552760934E10,2130,99.523,94.17187,26.2,86,?,?,16,70,?,5.08,1.7968282536,6230242,2.7968365871,3756835.926
French Polynesia,?,?,?,?,?,891.081,3.3684041415,?,?,?,0.3501074008,?,?,?,?,?,?,?,?,?,?,?,100,?,?,?,98,?,?,1.2154875194,264541,1.1767653505,136608.9724
Qatar,?,3970,3.413012235,214.1578969599,16513.3346704296,68477.558,49.0505837858,636.1265049047,?,?,0.7416276897,?,?,?,?,?,?,1.10712359446651E11,?,119.781,115.44132,9,100,?,?,?,100,?,?,16.9672923296,1396060,17.0509743428,1335191.784
Romania,1.8972390374,3247.1,6.9390344651,155.3586358024,1832.1738199175,94659.938,4.4000000558,373.0967000865,-36.414555225,8.9820812135,7.1098089625,1.4475E9,1.409E9,?,?,?,?,2.00071062765493E11,8290,98.886,96.00964,16,?,?,?,?,72,?,0.5,-0.1544385712,2.1513622E7,0.1779717072,1.16689885728E7
Russian Federation,1.9708205333,2388.1,4.5159152923,328.4402806162,4850.177590701,1708653.318,12.0370082282,815.1120832865,-592.8036796711,18.0644783374,9.0211141867,1.2412E10,7.1971E9,2.4E7,3.69E8,?,?,1.660846387626E12,9630,98.038,95.23701,13.4,96,?,?,?,87,?,0,-0.1056152184,1.4195E8,-0.1330688905,1.0339638E8
Rwanda,?,1278.4,2.1931936997,?,?,704.064,0.0703776015,71.0657202519,?,?,9.9857002897,?,4.36E7,?,?,3.5,?,4.71230607747675E9,430,100.146,53.97523,104.1,65,?,?,11429,54,?,?,2.9783242596,1.0004092E7,4.5168161435,1834750.4728
South Asia,?,2773.1319419606,3.3493477411,193.3927528863,498.1235301468,1970176.424,1.2828412471,504.6376786371,?,13.2619134095,6.1035485659,1.412758E10,1.35707E10,5.72665E9,7.59E7,?,58.925,1.52479171746328E12,999.7828845988,92.237,84.87983422,70.7891390032,86.6424117694,?,?,1127.2927816367,35.5661840806,?,?,1.4091809074,1.53579129796069E9,2.5170146079,4.53025943304652E8
Saudi Arabia,?,5218.2,8.2835616108,286.3274145662,5888.2457926675,433556.744,16.5690650603,805.7030442578,?,38.7661250648,31.2943930592,?,?,?,?,?,?,4.763048E11,16790,90.699,95.15082,18.9,?,2.1,0.939,7,?,?,?,2.5643075333,2.6166639E7,2.3703680785,2.15665438638E7
Sudan,1.1647969195,567.1,4.4811438984,181.4916138041,355.6374574126,14051.944,0.3392947668,173.15148755,?,11.7859355384,4.8950173801,?,2.07E8,?,?,2.3,?,5.80320574162679E10,1140,89.114,50.13814,105.7,57,0.84,0.28,12805,34,?,?,2.5469807144,4.1415151E7,4.5935637736,1.79907415944E7
Senegal,?,1174.2,3.0100714754,141.3398176925,242.5380646321,4976.119,0.4221656973,246.0183838666,?,22.828064151,24.0891625445,?,2.98E8,1.34E8,?,3.4,?,1.32100740654676E10,1020,95.498,56.25593,82.3,69,0.42,0.059,7077,51,?,?,2.6866451389,1.1787123E7,3.3020316963,4995382.7274
Singapore,?,?,4.5345847457,71.9214030201,3451.8913501674,32295.269,6.6734035211,139.0427726334,?,95.3635368021,5.3770595427,?,?,?,?,?,100,1.89393185097924E11,36050,?,?,2.8,100,?,?,?,100,?,?,5.3215779448,4839400,5.3215779448,4839400
Small island developing states,?,2175.4296814417,4.8924240856,138.8749234786,?,230301.090734621,3.730938081,351.5243459,?,?,6.7205724973,?,2.0815E8,?,?,?,49.9000015259,5.7530061847613E11,7997.6540478476,?,?,51.8685549016,79.8435657935,?,?,?,67.3890020184,?,?,,6.17273955601041E7,,3.5995451845533E7
Solomon Islands,?,3174,14.6978123261,?,?,198.018,0.3881024105,160.0738165613,?,?,0.0931345122,?,0,?,?,2.6,?,6.45796657499395E8,1050,?,?,28.1,?,?,?,13718,?,?,?,2.7280622894,510221,4.525863519,91635.6916
Sierra Leone,?,1332.7,2.9477648783,?,?,1334.788,0.2378398643,332.1933790505,?,?,4.9591272655,?,2.19E7,?,?,2.7,?,1.95482824601522E9,320,?,?,185.4,49,0.17,0.016,36141,13,21.3,?,2.4137322504,5612129,3.2648012172,2119139.9104
El Salvador,?,2905.3,1.6788951816,132.8066702885,833.3414360545,6112.889,0.9972691654,158.9312513609,?,24.4911436714,0.8271477641,0,2.318E8,?,?,?,?,2.21068E10,3460,98.28,89.35034,18.8,87,0.41,1.596,1,87,?,5.11,0.4703006813,6129628,0.9657599938,3720684.196
San Marino,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.89980957961037E9,50400,?,?,2.4,?,?,?,?,?,?,?,0.614100475,31198,0.6565633207,29394.7556
Somalia,?,337.9,?,?,?,649.059,0.0727460307,?,?,13.6760641362,0.5840383997,?,0,?,?,?,?,?,?,?,?,180,30,?,?,8711,23,?,?,2.1383873355,8922260,3.3505233887,3258409.352
Serbia,0.5142405063,4580,6.1330191092,224.4474098836,2299.2376691803,49933.539,6.7934745091,663.1666565507,?,15.1603876945,5.9578332477,?,1.86E8,?,?,?,47.74,4.88566098683679E10,5520,101.752,104.3832,7.8,99,?,?,?,92,?,0.14,-0.4257191567,7350221,-0.0792318033,3825055.0084
Sub-Saharan Africa,?,1292.466118158,3.8284183711,318.2164059351,709.5303965016,684558.623763832,0.8425320431,428.6086301369,?,13.6657633402,11.6992865007,?,1.172691E10,?,?,?,18.2999992371,9.9354153042417E11,1103.9988368085,87.484,64.38419223,127.9091720326,59.7246337024,?,?,26113.2792406897,31.3627140396,?,?,2.4905897487,8.12501589E8,3.8906180956,2.960546095764E8
Sao Tome and Principe,?,3167,33.2018642825,?,?,128.345,0.8028989315,496.2426491546,?,?,?,?,?,?,?,3.1,?,1.70904224752756E8,1020,99.952,74.25912,81.1,89,?,?,1961,26,?,?,1.5705858242,159852,2.9338654583,96806.3712
Suriname,?,4188.7,-7.6207408816,?,?,2438.555,4.7344515072,697.7433770142,?,?,11.439635169,?,0,?,?,?,?,3.06531876138433E9,5310,107.411,88.2705,32,93,?,?,681,84,?,?,0.9617690957,515066,1.4166193782,385887.4472
Slovak Republic,1.3422818792,5175.3,3.281237508,165.0219065377,3385.488472848,37557.414,6.9465529889,338.6020739051,-3.176158962,?,23.4816602704,?,?,?,?,?,?,9.84635125238026E10,16590,100.411,95.64045,8.9,100,6.58,?,?,100,?,?,0.1723074889,5406626,0.3846969492,3057987.6656
Slovenia,0.8130081301,5464,3.5444773542,140.7128810027,3826.9464052132,17157.893,8.4884763194,312.1125387586,-8.4827191462,?,12.1322667553,?,?,?,?,?,100,5.46428424110151E10,24210,99.311,96.22861,3.4,99,8.16,2.473,?,100,?,?,0.1581408436,2021316,-0.4572457138,982359.576
Sweden,?,4820.4,7.7762221144,156.847547591,5379.9591025113,49049.792,5.3201435154,155.1036815196,-33.8787047495,13.7929183112,11.3219510782,?,?,?,?,?,23.57,4.86158607819636E11,52420,99.277,94.07067,3.2,100,?,?,?,100,?,?,0.7790332908,9219637,0.8737078541,7794281.1198
Swaziland,?,1153.9,3.7269649681,?,?,1092.766,0.9499471462,205.6199311027,?,?,3.0174272038,?,1.95E7,?,?,?,?,2.83687599864426E9,2600,?,?,85.8,69,?,?,57,55,?,?,1.5185867765,1150344,2.6476310281,286895.7936
Sint Maarten (Dutch part),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.4900251734,40459,?,?
Seychelles,?,?,26.2147877541,?,?,682.062,7.8437600626,404.3576245171,?,?,41.9737365011,?,0,?,?,?,96.4566929134,9.2099141394916E8,10680,104.324,110.3078,13.5,?,?,?,?,?,?,?,2.2362827154,86956,3.1235343769,47251.8904
Syrian Arab Republic,9.7567995395,896.6,2.7899315354,286.2220562965,1291.4945711578,71598.175,3.6459411322,808.0163798695,?,33.44701062,0.6380150499,?,9.54E7,?,?,?,91.03,5.2581935483871E10,2220,96.801,113.56463,17.2,89,1.86,1.5,?,96,?,?,2.0386,1.96377759275158E7,2.647147961,1.0647602107899E7
Turks and Caicos Islands,?,?,?,?,?,157.681,4.3848998888,?,?,?,42.9228851783,?,?,?,?,?,?,?,?,?,?,?,100,?,?,?,?,?,?,4.4234372914,35960,?,?
Chad,?,811.7,2.7950200012,?,?,495.045,0.0464666847,36.8197172574,?,?,9.3858427855,?,9.85E7,?,?,2.2,?,8.35714285714286E9,550,63.611,?,176.7,50,?,?,39508,9,?,?,2.6818724222,1.0653762E7,4.4210466934,2842423.7016
Togo,?,1136.4,0.7549876033,506.709835951,443.614905527,1419.129,0.2456584806,280.5982550308,?,26.2952719628,11.2566735641,1.9E8,0,?,?,2.2,?,3.16338304041634E9,420,?,61.86793,107.5,60,0.27,0.053,30388,12,?,?,2.1703357505,5776837,3.8510475822,2426271.54
Thailand,?,3020.8,3.1297789566,211.0565702061,1557.1677657031,285732.64,4.1854560751,567.2914784298,?,10.002771138,19.590347452,2.341E9,4.06E8,?,0,?,?,2.72577816170884E11,3640,102.613,?,13.9,98,?,?,322,96,?,?,0.6931023446,6.8267982E7,1.7187523613,2.27468916024E7
Tajikistan,15.0200973133,2140.2,7.2808161993,209.3214509261,372.7462169442,3146.286,0.4701973394,264.0466484438,?,?,4.1366107914,?,6.8E7,?,?,2.6,?,5.16133617046084E9,620,90.556,97.72262,67.3,70,?,?,9,94,?,?,1.3085480599,6691416,1.3841624302,1770548.6736
Turkmenistan,?,2490.6,7.5041984296,722.4786606965,4570.4914773028,47839.682,9.7266836587,1537.541732136,?,?,2.9864976199,?,5.8E7,?,?,?,?,1.70171406310869E10,2830,?,?,58.9,?,?,?,0,98,?,?,1.2182117363,4918396,2.1273089064,2391324.1352
Timor-Leste,?,1442.6,7.9727849921,?,?,190.684,0.1766003025,234.5056784918,?,?,6.0498308738,?,0,?,?,2.7,?,4.97918858206328E8,2460,?,79.77389,62.3,69,?,?,46380,50,?,?,1.7733547211,1079749,3.2493962794,294771.477
Tonga,?,?,1.1971185956,?,?,176.016,1.7103877174,413.8903050002,?,?,14.5359289888,?,0,?,?,3.3,?,3.4801196556994E8,3290,?,?,16.4,100,?,?,?,96,?,?,0.6394905886,102910,1.6942671019,25501.098
Trinidad and Tobago,?,2893.7,10.3225096892,602.9818684225,14520.0069118884,49772.191,37.3934600012,1552.8627854747,?,?,31.2393794215,?,?,?,?,?,?,2.71329365079365E10,16910,100.794,91.78207,27.7,94,?,?,?,92,?,?,0.4041090871,1331040,3.0096204618,175963.488
Tunisia,4.0076915292,1442.4,6.4598043169,120.9021086934,889.4455363107,25012.607,2.4216138214,329.1693594466,?,?,1.2963770315,?,9.9E7,?,?,?,75.18,4.08448177907637E10,3540,103.339,92.82462,18.1,94,?,?,?,85,?,?,1.0100309666,1.03289E7,1.613351047,6868718.5
Turkey,13.3300955984,2487.4,2.6705461692,111.9535792049,1388.8401949531,283979.814,4.0040169066,322.7614130993,-80.5797115606,28.9750059677,1.8915980357,4.219E9,3.954E9,1.3435E9,?,?,?,7.30337495197849E11,9260,92.875,93.42516,21,99,1.89,1.451,0,90,?,?,1.321335189,7.092373E7,1.9933610929,4.8710417764E7
Tuvalu,?,?,5.5848651239,?,?,?,?,?,?,?,0.4388127634,?,?,?,?,?,?,2.96280762972034E7,4920,?,?,34.4,97,5.82,0.636,?,84,?,?,0.2455495402,9786,?,?
Tanzania,?,1277.8,1.9311867585,382.3151731147,448.4955367894,6464.921,0.1529519242,130.3822147385,?,7.2601877932,27.688968339,?,4.77E8,?,?,3.5,7.38,2.07150983994656E10,460,93.383,?,85.4,54,?,?,24088,24,?,?,2.8788686097,4.2267667E7,4.6180428809,1.07867086184E7
Uganda,?,1534.4,5.0472229585,?,?,3747.674,0.1195834942,110.811643795,?,4.7100179863,9.6727992862,1.51E8,6.794E8,?,?,3.4,?,1.44408302672498E10,420,98.944,56.13398,106.5,67,?,?,36233,48,?,?,3.2412323476,3.1339392E7,4.4815583259,4067853.0816
Ukraine,5.2697859149,3487.3,6.0508559903,437.6086516118,2941.1092087457,323532.076,6.9940481039,1040.6468249994,-17.2459242477,13.4893467537,3.5088718353,?,1.3638E9,?,1.02E8,?,97.81,1.8035464763062E11,3210,98.806,98.8861,14,98,?,?,?,95,?,0.04,-0.5414622109,4.62582E7,-0.4531619844,3.144632436E7
Upper middle income,?,3781.4781909819,3.7016866103,228.044241294,1834.0663374843,1.2859967139812E7,5.3168833232,659.4264582444,?,21.7250372437,13.6331261633,3.365525E10,?,1.539039E10,3.04401362E9,?,50.5012738542,1.32949597526454E13,4880.4297043415,102.494,97.69968723,22.1037243865,91.5048879093,?,?,80.1339891949,67.8299537972,?,?,0.6911048223,2.4187040335601E9,1.9285336871,1.35644502359893E9
Uruguay,1.2088650101,3943.9,5.8035882281,106.4842491428,1243.1503767788,8327.757,2.4977885768,213.9525081473,?,48.8971377771,0.2509417024,?,5.29E7,?,?,?,?,3.11768998906419E10,8020,103.913,106.00034,12,100,5.55,3.736,?,100,?,?,0.3047783676,3334052,0.4131794622,3077329.996
United States,?,6619.9,2.16895271,172.9717280646,7481.0165848049,5461013.744,17.9417289331,414.8382539776,-1007.2515088757,44.6030150308,14.8141725165,?,?,?,?,?,67.37,1.42969E13,47660,100.088,95.4828,7.7,99,?,?,?,100,?,?,0.9225172899,3.04375E8,1.2903901757,2.48674375E8
Uzbekistan,?,4348.7,2.5478624896,753.1202452695,1848.918052113,124905.354,4.5729928205,1862.7182911753,?,8.0278395091,2.2554439878,?,4.131E8,2.5E7,?,2.7,?,2.79175192106579E10,890,98.288,94.68316,53.6,87,?,?,0,100,?,?,1.645986424,2.73137E7,1.7546820869,1.005690434E7
St. Vincent and the Grenadines,?,3181.8,27.2737525453,?,?,201.685,1.847304402,215.240227068,?,?,10.877854156,?,0,?,?,3.8,?,5.8387037037037E8,5130,99.762,109.16745,21.4,?,?,?,?,?,?,?,0.1081388315,109178,0.9192425312,51357.3312
Venezuela,?,3826.4,0.1124929476,200.4885405299,2357.0081260068,169532.744,6.0688292107,516.2182929057,?,32.180247002,53.7498250426,?,3.91E8,?,?,?,?,3.11130615277131E11,9160,102.196,95.38287,19.4,?,?,?,263,?,?,?,1.631275121,2.7935E7,1.9962782101,2.6068942E7
Virgin Islands (U.S.),?,?,?,?,?,?,?,?,?,?,15.1993226778,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.0172993841,109840,0.249489462,104194.224
Vietnam,?,5064.2,10.6110562751,266.1771973716,694.8722602655,127384.246,1.4964850104,573.242319131,?,12.0161966958,6.1667888567,?,0,3.65E8,?,3.6,?,9.02737649457486E10,920,?,?,25.2,94,1.01,1.224,55,75,20.2,13.07,1.0643562226,8.51223E7,2.8035304938,2.369804832E7
Vanuatu,?,546.6,7.0888370092,?,?,91.675,0.4020110419,98.6544730348,?,?,4.2504736976,?,3.5E7,?,?,3.3,?,6.19283529063456E8,2550,99.362,78.18632,15.3,83,1.7,0.116,6036,52,?,?,2.5151297587,228041,4.2259657844,56462.9516
West Bank and Gaza,4.6195652174,1467.9,?,?,?,2053.52,0.5215541884,?,?,?,?,?,0,?,?,?,?,?,?,104.414,82.10409,23.8,91,?,?,?,89,?,?,2.7062358434,3937309,2.8454147106,2830925.171
World,?,3554.1278711691,3.0878896874,183.3109674206,1840.103747768,?,?,?,?,19.8362883924,12.4895801062,?,?,?,?,?,49.1000003815,6.12585370641227E13,8717.1469881154,96.16,87.97033092,60.8540182981,86.8208637646,?,?,4601.3132503134,60.6185462908,?,?,1.1610496571,6.68677600659544E9,2.0358806422,3.33144447975367E9
Samoa,?,?,5.7628098355,?,?,161.348,0.8874588167,213.0412960009,?,?,3.4078283954,?,0,?,?,3.9,?,5.7889918646637E8,2880,?,?,20.8,?,?,?,?,100,?,?,0.2930437311,181809,1.166411728,41816.07
Yemen,?,939.1,5.7755438847,142.1676964293,320.2263972993,23384.459,1.0334943901,458.8301212986,?,9.3563260402,0.5206608746,?,5.01E7,2.2E8,?,3,?,2.69173639560592E10,970,?,60.90959,81.1,62,?,?,1106,52,?,?,3.0495984061,2.2626595E7,4.9606944609,6932788.708
South Africa,?,4055.3,3.5036616208,320.1910405126,3074.5974496107,435877.955,8.9332026821,930.3108809465,?,33.2340226846,6.8595500813,?,1.927E9,?,?,?,?,2.7527872183579E11,5860,99.154,92.49449,65.6,91,?,?,80,77,?,?,1.1040572154,4.8793022E7,1.897449807,2.96368815628E7
Dem. Rep. Congo,?,771.5,14.798969977,1193.8872189503,356.0234053032,2816.256,0.0450781987,151.1650202197,?,17.3525156927,9.986566577,?,3.35E8,?,?,2.2,?,1.16683796418326E10,160,75.821,53.23827,174.4,46,?,?,37400,23,?,?,2.7632855893,6.2474901E7,4.6058340013,2.12164763796E7
Zambia,?,2144,6.4109907485,481.1962647686,614.8517417186,1888.505,0.1525496114,119.3886236655,?,11.1096050506,35.9830176648,?,1.31E8,?,?,3.2,?,1.4640794797859E10,970,95.4779740062,92.97974,121.8,60,?,?,13456,49,?,?,2.6539560765,1.2379612E7,3.0499961981,4384858.5704
Zimbabwe,?,309.4,1.1684782609,?,763.4369491396,9075.825,0.728891592,?,?,12.7178133666,28.0077131298,?,1.23E8,?,?,1.6,?,4.416E9,320,?,?,87.5,82,?,?,7480,44,?,?,-0.2382566607,1.2451543E7,1.0555619265,4649406.1562
